Hole No,Sheet No,Start Depth,End Depth,Soil/Rock Description,Soil/Rock Type,Confidence Level
B6A_v1,1,0,2.5,0.00-2.50m: wash boring,No Recovery,High
B6A_v1,1,2.5,2.9,"Rounded to subrounded, COBBLES and fine to coarse GRAVEL. No recovery assumed, finer material washed out. (FILL)",Fill,High
B6A_v1,1,2.9,14.9,2.90-14.90m: wash boring.,No Recovery,High
B6A_v1,2,14.9,15.9,"Moderately strong to moderately weak, brownish grey, spotted black and white, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.",Granite,High
B6A_v1,2,15.9,20.55,15.90-20.55m: wash boring,No Recovery,High
B6A_v1,3,20.55,21.58,"Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely to extremely closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees.",Granite,High
B6A_v1,3,21.58,21.76,21.58-21.76m: no recovery assumed highly decomposed zone.,No Recovery,High
B6A_v1,3,21.76,22.72,"21.76-22.72m: moderately strong to weak, moderately to highly decomposed zone.",Granite,High
B6A_v1,3,22.72,28.5,"Moderately strong to strong, pinkish grey, spotted black and white, moderately to slightly decomposed medium grained GRANITE with closely spaced, very narrow to extremely narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees to 10 degrees.",Granite,High
B6B_v1,1,0,2,Inspection pit,Fill,High
B6B_v1,1,2,24.32,Wash boring,Soil,High
B6B_v1,3,24.32,27.9,"Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.",Granite,High
B6B_v1,3,27.9,30.41,"Strong, pinkish grey spotted black, slightly decomposed, medium grained GRANITE, with closely to medium spaced, rough undulating, extremely narrow, clean, joints, dipping 5 degrees-10 degrees.",Granite,High
C6A_v1,1,0,1.1,Wash boring.,No Recovery,High
C6A_v1,1,1.1,2.4,"Rounded and sub-rounded COBBLES, fine to coarse GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL)",Fill,High
C6A_v1,1,2.4,18.95,Wash boring.,No Recovery,High
C6A_v1,2,18.95,19.8,"Moderately strong, brownish grey spotted yellow, moderately decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees-35 degrees.",Granite,High
C6A_v1,2,19.8,25.29,"Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to medium spaced, very narrow to extremely narrow, rough undulating, clean joints, dipping 5 degrees-10 degrees.",Granite,High
C6A_v1,3,25.29,26.57,"Strong to moderately strong, spotted black and white, slightly to moderately decomposed, medium grained GRANITE with closely to medium spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 5 degrees-10 degrees and 25 degrees-35 degrees.",Granite,High
P1_v1,1,0,3,wash boring,Fill,High
P1_v1,1,3,17,"Rounded and subrounded COBBLES, fine to coarse GRAVEL and SAND with clay binder",Fill,High
P1_v1,2,17,24.98,wash boring,Fill,High
P1_v1,3,24.98,30.91,"Moderately strong to moderately weak, weathered dark greyish black and yellow, moderately highly decomposed fine grained GRANITE with closely spaced, narrow to very narrow, fresh and sub-fresh to stained joints, dipping 15 degrees to 35 degrees.",Granite,High
P2_v1,1,0,1.42,Wash boring.,No Recovery,High
P2_v1,1,1.42,1.42,"Rounded and sub-rounded COBBLES, GRAVEL and CONCRETE. No recovery, assumed finer material washed out. (FILL)",Fill,High
P2_v1,1,1.42,18,Wash boring.,No Recovery,High
P2_v1,2,18,18,"Rounded and sub-rounded COBBLES and fine to medium GRAVEL. Some fine material, possible residual soil in lower part. Recovery, assumed finer material washed out. (FILL)",Fill,High
P2_v1,2,18,24.65,Wash boring.,No Recovery,High
P2_v1,3,24.65,30.79,"Moderately weak, brownish grey spotted yellow, highly decomposed, weathered, dark GRAY GRANITE, extremely closely spaced, interlocking, narrow, very narrow undulating, limonite and manganese veining, dipping 50-60 degrees. Moderately strong, brownish grey spotted yellow, highly decomposed, medium grained Granodiorite, extremely closely spaced, narrow to very narrow undulating joints, and manganese stained joints, dipping 5-10 degrees and 15-35 degrees.",Granite,High
P3_v1,1,0,3,wash boring,Fill,High
P3_v1,1,3,24.3,Rounded and subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed finer material washed out. (FILL),Fill,High
P3_v1,3,24.3,28.74,"Moderately strong, brownish grey grey, spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, rough, undulating, narrow to very narrow, limonite and manganese stained joints, dipping 5 degrees to 15 degrees and 15 degrees to 35 degrees",Granite,High
P3_v1,3,28.74,30.95,"Moderately strong to strong, brownish grey, spotted yellow, moderately to slightly decomposed, medium grained GRANITE with closely spaced, rough, undulating, narrow, limonite and manganese stained, dipping 5 degrees to 10 degrees",Granite,High
P4_v1,1,0,2.8,wash boring,Wash Boring,High
P4_v1,1,2.8,3.3,"Rounded and subrounded COBBLES and fine to coarse GRAVEL, CONCRETE. No recovery assumed finer material washed out.",No Recovery,High
P4_v1,1,3.3,19.17,wash boring,Wash Boring,High
P4_v1,2,19.17,19.3,Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.,No Recovery,High
P4_v1,3,19.3,23.4,wash boring,Wash Boring,High
P4_v1,3,23.4,23.6,Rounded and subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed finer material washed out.,No Recovery,High
P4_v1,3,23.6,26.17,"Moderately weak, brownish grey, spotted black and yellow, moderately to highly decomposed, medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 15 to 35.",Granite,High
P4_v1,3,26.17,27.05,"Moderately weak, brownish grey, spotted black, moderately to highly decomposed, medium grained GRANITE with extremely closely to closely spaced, moderately narrow to narrow, rough stepped, limonite and manganese stained joints, dipping 15 to 35.",Granite,High
P4_v1,3,27.05,28.15,"Moderately strong to strong, brownish and pinkish grey, spotted black and white, moderately to slightly decomposed, medium grained GRANITE with closely to extremely narrow, limonite stained joints, dipping 5 to 15.",Granite,High
P4_v1,3,28.15,28.92,"Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with medium spaced, extremely narrow, clean joints, dipping 5 to 10.",Granite,High
P61_v1,1,0,1.6,Wash boring,Soil,High
P61_v1,1,1.6,1.7,Concrete,Concrete,High
P61_v1,1,1.7,2.2,Wash boring,Soil,High
P61_v1,1,2.2,2.36,Concrete,Concrete,High
P61_v1,1,2.36,17.57,Wash boring,Soil,High
P61_v1,2,17.57,24.7,"Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE, with closely to medium spaced, very narrow to extremely narrow, rough undulating, limonite and stained joints, dipping 5-10 degrees",Granite,High
P61_v1,3,24.7,25.8,"Strong to moderately strong, slightly to moderately decomposed zone",Granite,High
P62_v1,1,0,3,wash boring,Wash Boring,High
P62_v1,1,3,3.5,Rounded and subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed finer material was out.,Fill,High
P62_v1,1,3.5,17.37,wash boring,Wash Boring,High
P62_v1,2,17.37,24.91,"Strong, pinkish grey, spotted black and white, slightly decomposed, medium grained GRANITE with closely to medium spaced, very narrow to extremely narrow, rough, undulating, clean joints, dipping 5 degrees to 10 degrees.",Granite,High
P63_v1,1,0,2,0.00-2.00m: wash boring,Wash Boring,High
P63_v1,1,2,3.5,"Rounded to subrounded COBBLES and fine to coarse GRAVEL and CONCRETE. No recovery assumed, finer material washed out. (FILL)",Fill,High
P63_v1,1,3.5,17.55,3.50-17.55m: wash boring,Wash Boring,High
P63_v1,2,17.55,20.3,"Moderately strong, brownish grey, spotted yellow, moderately decomposed, medium grained GRANITE with closely to extremely closely spaced, moderately narrow to narrow, rough undulating, limonite and manganese stained joints, dipping 15 degrees to 35 degrees and occasional subvertical.",Granite,High
P63_v1,3,20.3,25.25,"Strong to moderately strong, pinkish grey, spotted black and white, slightly to moderately decomposed, medium grained GRANITE with closely to medium spaced, very narrow to extremely narrow, rough undulating, limonite stained joints, dipping 5 degrees to 10 degrees.",Granite,High
P64_v1,1,0,2,wash boring,Fill,High
P64_v1,1,2,3,"Rounded to subrounded COBBLES and fine to coarse GRAVEL. No recovery assumed, finer material washed out. (FILL)",Fill,High
P64_v1,1,3,11.7,wash boring,Fill,High
P64_v1,2,11.7,12.2,"Moderately strong to moderately weak, brownish grey, spotted yellow, moderately to highly decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and stained joints, dipping 15 to 35.",Granite,High
P64_v1,2,12.2,16,wash boring,No recovery,High
P64_v1,2,16,17.53,"Moderately strong, pinkish grey, spotted black and white, moderately decomposed medium grained GRANITE with closely spaced, narrow to very narrow, rough undulating, limonite and manganese stained joints, dipping 5 to 25.",Granite,High
P64_v1,2,17.53,17.87,wash boring,No recovery,High
P64_v1,2,17.87,19.2,"Strong to moderately strong, pinkish grey, spotted black and white, slightly to moderately decomposed medium grained GRANITE with closely spaced to medium spaced, very narrow, rough undulating, limonite and manganese stained joints, dipping 5 to 15.",Granite,High
P64_v1,3,19.2,22,"Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely to medium spaced, extremely narrow, rough undulating, clean joints, dipping 5 to 10.",Granite,High
P64_v1,3,22,23.53,"moderately strong to strong, moderately to slightly decomposed zone.",Granite,High
P64_v1,3,23.53,24.98,"Strong, pinkish grey, spotted black and white, slightly decomposed medium grained GRANITE with closely to medium spaced, extremely narrow, rough undulating, clean joints, dipping 5 to 10.",Granite,High
ASA_v1,1,0,3.5,Angular COBBLES and GRAVELS of moderately decomposed granite with some brown silty SAND and some concrete fragments. (FILL),Fill,High
ASA_v1,1,3.5,18.7,Wash Boring. (No Recovery),No Recovery,High
ASA_v1,2,18.7,19.3,Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some grey silty sand. (ALLUVIUM),Alluvium,High
ASA_v1,2,19.3,20.7,Wash Boring. (No Recovery),No Recovery,High
ASA_v1,3,20.7,25.9,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with medium to closely spaced, extremely narrow to very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10 degrees-20 degrees and 70 degrees-80 degrees.",Granite,High
B1_v1,1,0,0.2,Concrete slab,Concrete,High
B1_v1,1,0.2,0.8,"Brown, gravelly silty medium to coarse SAND (FILL)",Fill,High
B1_v1,1,0.8,19,No recovery,No recovery,High
B1_v1,2,19,19.3,"Sub-angular Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND (ALLUVIUM)",Alluvium,High
B1_v1,3,19.3,22.83,No recovery,No recovery,High
B1_v1,3,22.83,23.52,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE",Granite,High
B1_v1,3,23.52,23.82,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed GRANITE",Granite,High
B1_v1,3,23.82,23.97,"Weak, highly decomposed zone",Granite,High
B1_v1,3,23.97,24.11,No recovery,No recovery,High
B1_v1,3,24.11,33.32,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE",Granite,High
B2_v1,1,0,0.2,Concrete Slab,Fill,High
B2_v1,1,0.2,1.5,Wash boring,No recovery,High
B2_v1,1,1.5,3.33,Concrete with cobbles and gravels of moderately decomposed granite (FILL),Fill,High
B2_v1,1,3.33,24.6,Wash boring,No recovery,High
B2_v1,3,24.6,25.03,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees",Granite,High
B2_v1,3,25.03,25.2,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE",Granite,High
B2_v1,3,25.2,25.6,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees",Granite,High
B2_v1,3,25.6,25.74,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE",Granite,High
B2_v1,3,25.74,34.17,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese, kaolin and chlorite stained joints, dipping 10 degrees-20 degrees, 30 degrees-50 degrees, 70 degrees-80 degrees",Granite,High
B2A_v1,1,0,0.2,Concrete Slab,Concrete,High
B2A_v1,1,0.2,1.4,Wash boring,No recovery,High
B2A_v1,1,1.4,2.8,Concrete with cobbles and gravels of moderately decomposed granite and occasionally some steel fragment,Fill,High
B2A_v1,1,2.8,18,Wash boring,No recovery,High
B2A_v1,2,18,18.5,"Sub-rounded cobbles and gravels of moderately decomposed granite and tuff with some brown, silty SAND",Alluvium,High
B2A_v1,2,18.5,22.8,Wash boring,No recovery,High
B2A_v1,3,22.8,23.08,"Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10-20, 65-85 and occasionally vertical joints",Granite,High
B2A_v1,3,23.08,23.4,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE",Granite,High
B2A_v1,3,23.4,23.8,No recovery,No recovery,High
B2A_v1,3,23.8,31.56,"Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints, dipping 10-20, 65-85 and occasionally vertical joints",Granite,High
B2B_v1,1,0,0.2,Concrete Slab,Concrete,High
B2B_v1,1,0.2,2.5,Concrete with cobbles and gravels of moderately decomposed granite and red bricks (FILL),Fill,High
B2B_v1,1,2.5,19.7,Wash boring,No recovery,High
B2B_v1,2,19.7,21.5,Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some red brick and steel fragment (FILL),Fill,High
B2B_v1,3,21.5,26.04,Wash boring,No recovery,High
B2B_v1,3,26.04,31.8,"Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow to very narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10-20, 40-60, 70-80",Granite,High
B2C_v1,1,0,1.5,Concrete Slab with steel bars,Concrete,High
B2C_v1,1,1.5,4,Concrete with cobbles and gravels of moderately decomposed granite (FILL),Fill,High
B2C_v1,1,4,19.3,Wash boring (No recovery),No Recovery,High
B2C_v1,2,19.3,19.7,Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown silty SAND,Soil,High
B2C_v1,2,19.7,24.55,Wash boring (No recovery),No Recovery,High
B2C_v1,3,24.55,24.9,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed medium to coarse grained GRANITE",Granite,High
B2C_v1,3,24.9,31.71,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese, chlorite and kaolin stained joints",Granite,High
B3_v1,1,0,0.2,Concrete Slab,Concrete,High
B3_v1,1,0.2,0.85,Wash boring,No recovery,High
B3_v1,1,0.85,3.32,Concrete with cobbles and gravels of moderately decomposed granite and occasionally some red bricks,Fill,High
B3_v1,1,3.32,19.2,Wash boring,No recovery,High
B3_v1,2,19.2,20.63,"Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND",Alluvium,High
B3_v1,3,20.63,27.77,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE",Granite,High
B3A_v1,1,0,0.2,Concrete Slab.,Concrete,High
B3A_v1,1,0.2,0.8,"Brown, gravelly silty medium to coarse SAND. (FILL)",Fill,High
B3A_v1,1,0.8,3,Concrete with cobbles and gravels of moderately decomposed granite. (FILL),Fill,High
B3A_v1,1,3,19.55,Wash boring. (No recovery),No Recovery,High
B3A_v1,3,19.55,25.63,"Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained, chlorite and kaolin coated joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees, 70 degrees-85 degrees.",Granite,High
B3A_v1,3,25.63,28.3,"Strong, pinkish grey spotted black and white, slightly decomposed, medium to coarse grained GRANITE.",Granite,High
B3B_v1,1,0,0.33,Concrete Slab,Concrete,High
B3B_v1,1,0.33,18.5,Wash boring. (No recovery),No recovery,High
B3B_v1,2,18.5,19.1,Sub-rounded Cobbles and Gravels of moderately decomposed granite and tuff with some brown silty SAND. (ALLUVIUM),Alluvium,High
B3B_v1,2,19.1,21.1,Wash boring. (No recovery),No recovery,High
B3B_v1,3,21.1,28.05,"Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow to extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 80 degrees-85 degrees.",Granite,High
B3C_v1,1,0,0.5,Concrete Slab with steel bars,Concrete,High
B3C_v1,1,0.5,18.1,Wash boring,No recovery,High
B3C_v1,2,18.1,19.34,"Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 60 degrees-70 degrees, 80 degrees-85 degrees.",Granite,High
B3C_v1,3,19.34,19.57,No recovery,No recovery,High
B3C_v1,3,19.57,28.13,"Moderately strong to strong, pinkish grey spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely spaced, extremely narrow, rough planar, limonite stained and clean joints, dipping 10 degrees-20 degrees, 60 degrees-70 degrees, 80 degrees-85 degrees.",Granite,High
B4_v1,1,0,0.6,Concrete Slab with steel bars,Concrete,High
B4_v1,1,0.6,17.85,Wash boring,No recovery,High
B4_v1,2,17.85,18.05,"Weak to moderately weak, brownish pink spotted black and white, highly to moderately decomposed, medium to coarse grained GRANITE",Granite,High
B4_v1,2,18.05,19.25,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10-20, 75-85 and occasionally vertical joints",Granite,High
B4_v1,2,19.25,19.45,No recovery,No recovery,High
B4_v1,3,19.45,28.14,"Moderately weak to moderately strong, brownish pink spotted black and white, moderately decomposed, medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, very narrow, rough planar, limonite, manganese stained and kaolin coated joints, dipping 10-20, 75-85 and occasionally vertical joints",Granite,High
B4A_v1,1,0,0.3,Concrete Slab.,Concrete,High
B4A_v1,1,0.3,0.8,Concrete with cobbles and gravels of moderately decomposed granite. (FILL),Fill,High
B4A_v1,1,0.8,3,Wash boring. (No recovery),No Recovery,High
B4A_v1,1,3,16.98,Angular Cobbles and Gravels of moderately decomposed granite with some concrete fragment and steel fragment. (FILL),Fill,High
B4A_v1,2,16.98,27.52,"Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained and kaolin stained joints, dipping 10-20, 40-65, 75-85.",Granite,High
BLA_v1,1,0,0.2,CONCRETE SLAB,Concrete,High
BLA_v1,1,0.2,2,"Brown, gravelly silty medium to coarse SAND. (FILL)",Fill,High
BLA_v1,1,2,11,No recovery,No Recovery,High
BLA_v1,2,11,11.3,"Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND",Alluvium,High
BLA_v1,2,11.3,16.5,No recovery,No Recovery,High
BLA_v1,2,16.5,16.9,"Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND",Alluvium,High
BLA_v1,2,16.9,18.3,No recovery,No Recovery,High
BLA_v1,2,18.3,19,"Alluvium: Cobbles and Gravels of moderately decomposed granite and tuff with some brown, silty SAND",Alluvium,High
BLA_v1,2,19,23.54,No recovery,No Recovery,High
BLA_v1,3,23.54,32.2,"Moderately strong to strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE",Granite,High
C1_v1,1,0,0.2,Concrete Slab.,Concrete,High
C1_v1,1,0.2,1,"Brown, gravelly silty medium to coarse SAND. (FILL)",Sand,High
C1_v1,1,1,29.65,Wash boring.,No recovery,High
C1_v1,4,29.65,35.61,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced and occasionally closely spaced, moderately narrow to very narrow, rough planar, limonite, manganese stained chlorite and kaolin coated joints, dipping 10 degrees-20 degrees, 30 degrees-40 degrees, 70 degrees-85 degrees and occasionally vertical joints.",Granite,High
C2_v1,1,0,1.5,Concrete with steel bar,Concrete,High
C2_v1,1,1.5,3.7,Wash boring. (No recovery),No recovery,High
C2_v1,1,3.7,4.9,"Angular BOULDER, COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown, silty SAND. (FILL)",Fill,High
C2_v1,1,4.9,18.8,Wash boring. (No recovery),No recovery,High
C2_v1,2,18.8,19.6,Sub-rounded COBBLES and GRAVELS of moderately decomposed granite and tuff with some brown silty SAND. (ALLUVIUM),Alluvium,High
C2_v1,3,19.6,26.33,Wash boring. (No recovery),No recovery,High
C2_v1,3,26.33,31.39,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, limonite, manganese and kaolin stained joints, dipping 10-20, 40-50, 75-85 and occasionally vertical joints.",Granite,High
C2A_v1,1,0,0.2,Concrete Slab,Concrete,High
C2A_v1,1,0.2,0.6,Wash boring. (No recovery),No Recovery,High
C2A_v1,1,0.6,2.5,Concrete with cobbles and gravels of moderately decomposed granite and some rubbish. (FILL),Fill,High
C2A_v1,1,2.5,23.6,Wash boring. (No recovery),No Recovery,High
C2A_v1,3,23.6,29.87,"Moderately strong to strong, brownish pink spotted black and white, moderately to slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, very narrow to extremely narrow, rough planar, limonite, manganese stained joints, dipping 10 degrees-20 degrees, 40 degrees-50 degrees, 65 degrees-75 degrees.",Granite,High
C3_v1,1,0,0.2,Concrete Slab,Concrete,High
C3_v1,1,0.2,3.2,Concrete with cobbles and gravels of moderately decomposed granite and steel bars. (FILL),Fill,High
C3_v1,1,3.2,21.45,Wash boring. (No recovery),No recovery,High
C3_v1,3,21.45,22.9,"Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow to very narrow, rough planar, limonite, manganese and kaolin stained and clean joints, dipping 10 degrees-20 degrees, 70 degrees-85 degrees.",Granite,High
C3_v1,3,22.9,28.7,"Moderately strong, brownish pink spotted black and white, moderately decomposed medium to coarse grained GRANITE.",Granite,High
C3A_v1,1,0,0.2,Concrete Slab.,Concrete,High
C3A_v1,1,0.2,0.4,"Brown, gravelly silty medium to coarse SAND. (FILL)",Sand,High
C3A_v1,1,0.4,3.68,Concrete with cobbles and gravels of moderately decomposed granite. (FILL),Fill,High
C3A_v1,1,3.68,18.89,Wash boring. (No recovery),No Recovery,High
C3A_v1,3,18.89,28.09,"Strong, pinkish grey spotted black and white, slightly decomposed medium to coarse grained GRANITE with widely to medium spaced, extremely narrow, rough planar, manganese, limonite stained and clean joints, dipping 10 degrees-20 degrees, 40 degrees-60 degrees and occasionally vertical joints.",Granite,High
C4_v1,1,0,1.72,Concrete with steel bars,Concrete,High
C4_v1,1,1.72,17.88,Concrete with steel bars and steel fragments,Concrete,High
